review,guest_satisfaction_overall,accuracy_rating,cleanliness_rating,location_rating,value_rating,new_price,log_price
68,97,10,10,10,10,59,-0.969756007194519
68,97,10,10,10,10,60,-0.9438757300376892
68,97,10,10,10,10,58,-0.9960789680480956
68,97,10,10,10,10,57,-1.0228594541549685
68,97,10,10,10,10,56,-1.0501141548156738
68,97,10,10,10,10,53,-1.1348973512649536
68,97,10,10,10,10,53,-1.1348973512649536
68,97,10,10,10,10,53,-1.1348973512649536
68,97,10,10,10,10,55,-1.0778594017028809
68,97,10,10,10,10,71,-0.6846657991409302
66,97,10,10,10,10,92,-0.2856796085834503
66,97,10,10,10,10,90,-0.31952357292175293
66,97,10,10,10,10,90,-0.31952357292175293
66,97,10,10,10,10,89,-0.33672860264778137
66,97,10,10,10,10,90,-0.31952357292175293
67,97,10,10,10,10,104,-0.09689122438430786
68,97,10,10,10,10,101,-0.141963392496109
68,97,10,10,10,10,100,-0.15728506445884705
70,96,10,10,10,10,101,-0.141963392496109
70,96,10,10,10,10,103,-0.1117694079875946
70,96,10,10,10,10,103,-0.1117694079875946
70,96,10,10,10,10,102,-0.12679223716259003
70,96,10,10,10,10,106,-0.06755998730659485
70,96,10,10,10,10,105,-0.0821562185883522
71,96,10,10,10,10,105,-0.0821562185883522
1,80,8,6,10,8,95,-0.23626874387264252
3,80,8,7,10,9,95,-0.23626874387264252
4,70,8,6,10,8,95,-0.23626874387264252
9,91,10,7,9,9,190,0.8310682773590088
11,92,10,8,9,9,195.1666717529297,0.8723818063735962
12,93,10,8,9,9,179,0.7392351627349854
13,93,10,8,9,9,179,0.7392351627349854
13,93,10,8,9,9,179,0.7392351627349854
13,93,10,8,9,9,176.8333282470703,0.7204822897911072
14,94,10,8,9,9,183.6666717529297,0.7788650393486023
14,94,10,8,9,9,181.5,0.7605924010276794
14,94,10,8,9,9,183.6666717529297,0.7788650393486023
14,94,10,8,9,9,179.3333282470703,0.7420994639396667
14,94,10,8,9,9,175.1666717529297,0.7059007287025452
14,94,10,8,9,9,174.1666717529297,0.6970845460891724
14,94,10,8,9,9,153.8333282470703,0.5059238076210022
14,94,10,8,9,9,156,0.5274609327316284
14,94,10,8,9,9,152.1666717529297,0.4891497790813446
15,94,10,8,9,9,151.1666717529297,0.4789972305297851
15,94,10,8,9,9,156.5,0.5323885083198547
16,89,10,8,9,9,155.3333282470703,0.5208658576011658
18,90,10,8,9,9,171.3333282470703,0.6718284487724304
2,94,8,10,10,8,209,0.9778308868408204
3,97,9,10,10,9,213,1.0070233345031738
3,97,9,10,10,9,210,0.9851807951927184
3,97,9,10,10,9,207,0.9630246758461
3,97,9,10,10,9,207,0.9630246758461
3,97,9,10,10,9,208,0.9704458117485046
3,97,9,10,10,9,205,0.9480745196342468
5,95,9,10,10,9,214.1666717529297,1.0154342651367188
6,96,9,10,10,9,211,0.9924961924552916
6,96,9,10,10,9,213.1666717529297,1.0082275867462158
6,96,9,10,10,9,207.8333282470703,0.9692115187644958
6,96,9,10,10,9,204.6666717529297,0.9455685615539552
6,96,9,10,10,9,202.5,0.9291807413101196
